repo,number,title,author,merged_at,base,merge_sha,url,signal
NVIDIA-NeMo/RL,4232,refactor(loss): move loss-input preparation into loss_input.py,yuki-97,2026-09-22T08:09:56Z,main,6c5f78b0d971681bace70240dadea2af140cdc16,https://github.com/NVIDIA-NeMo/RL/pull/4232,
NVIDIA-NeMo/RL,3706,feat(draft): preserve split-step normalization parity,seonjinn,2026-09-22T06:00:33Z,main,a9c31782a79a9b7dccdf7a877a9abb9e7f8727f8,https://github.com/NVIDIA-NeMo/RL/pull/3706,
NVIDIA-NeMo/RL,4231,test: re-enable nemotron omni clevr megatron single-controller L1 test,yuki-97,2026-09-22T04:58:44Z,main,9ce38d7f5399119cd176f6d02afd2a1d479be13f,https://github.com/NVIDIA-NeMo/RL/pull/4231,
NVIDIA-NeMo/RL,4216,ci: install research folder dependencies & discover research test suites,sajadn,2026-09-22T01:05:00Z,main,e07b6daa26e511a84a14047ec9f01c52be4bfe91,https://github.com/NVIDIA-NeMo/RL/pull/4216,
NVIDIA-NeMo/RL,3374,fix(nemo-gym): preserve replica identity during routing,ananthsub,2026-09-21T19:45:15Z,main,fd7112c374af23b3bcc392637fb737495f8a3f31,https://github.com/NVIDIA-NeMo/RL/pull/3374,G7
NVIDIA-NeMo/RL,3373,feat(nemo-gym): wire sharded stacks into training,ananthsub,2026-09-21T17:53:13Z,main,350fab73de72c001c88fb581a34ffd98444f72ee,https://github.com/NVIDIA-NeMo/RL/pull/3373,G7
NVIDIA-NeMo/RL,4045,feat(mopd): support multiple teacher checkpoints in full-vocabulary o…,RayenTian,2026-09-21T17:33:38Z,main,93b1c1d03474f6e6e122ec84394a5ce07c672b3c,https://github.com/NVIDIA-NeMo/RL/pull/4045,
NVIDIA-NeMo/RL,4158,fix(LOO-Norm-Advantage): Fix spike in LOO normed advantage.,cspades,2026-09-21T16:22:47Z,main,8535caefc6cf2e34330e2e24b6dc28c42fbee880,https://github.com/NVIDIA-NeMo/RL/pull/4158,
NVIDIA-NeMo/RL,4213,fix(ppo): rebuild the critic optimizer on a warm start,bg51717,2026-09-21T14:55:27Z,main,094a932d2a2d36c14f18d9ca98a081d4a6223b16,https://github.com/NVIDIA-NeMo/RL/pull/4213,
NVIDIA-NeMo/RL,4217,"trtllm: shard-to-shard (nccl_reshard) refit for the TRT-LLM backend, with local-expert quantization and a reshard-aware trainer offload",zongfeijing,2026-09-21T03:14:54Z,opt/dev-rubin-pin,66870b4e80991cc7eebbbc02c9b4f19eeb232771,https://github.com/NVIDIA-NeMo/RL/pull/4217,
