repo,id,event_at_utc,month_asia_shanghai,title,author,branch_or_target,merge_or_commit_sha,url,previous_url_or_sha_match
NVIDIA-NeMo/RL,4232,2026-09-22T08:09:56Z,2026-09,refactor(loss): move loss-input preparation into loss_input.py,yuki-97,main,6c5f78b0d971681bace70240dadea2af140cdc16,https://github.com/NVIDIA-NeMo/RL/pull/4232,false
NVIDIA-NeMo/RL,3706,2026-09-22T06:00:33Z,2026-09,feat(draft): preserve split-step normalization parity,seonjinn,main,a9c31782a79a9b7dccdf7a877a9abb9e7f8727f8,https://github.com/NVIDIA-NeMo/RL/pull/3706,true
NVIDIA-NeMo/RL,4231,2026-09-22T04:58:44Z,2026-09,test: re-enable nemotron omni clevr megatron single-controller L1 test,yuki-97,main,9ce38d7f5399119cd176f6d02afd2a1d479be13f,https://github.com/NVIDIA-NeMo/RL/pull/4231,false
NVIDIA-NeMo/RL,4216,2026-09-22T01:05:00Z,2026-09,ci: install research folder dependencies & discover research test suites,sajadn,main,e07b6daa26e511a84a14047ec9f01c52be4bfe91,https://github.com/NVIDIA-NeMo/RL/pull/4216,false
NVIDIA-NeMo/RL,3374,2026-09-21T19:45:15Z,2026-09,fix(nemo-gym): preserve replica identity during routing,ananthsub,main,fd7112c374af23b3bcc392637fb737495f8a3f31,https://github.com/NVIDIA-NeMo/RL/pull/3374,true
NVIDIA-NeMo/RL,3373,2026-09-21T17:53:13Z,2026-09,feat(nemo-gym): wire sharded stacks into training,ananthsub,main,350fab73de72c001c88fb581a34ffd98444f72ee,https://github.com/NVIDIA-NeMo/RL/pull/3373,true
NVIDIA-NeMo/RL,4045,2026-09-21T17:33:38Z,2026-09,feat(mopd): support multiple teacher checkpoints in full-vocabulary o…,RayenTian,main,93b1c1d03474f6e6e122ec84394a5ce07c672b3c,https://github.com/NVIDIA-NeMo/RL/pull/4045,true
NVIDIA-NeMo/RL,4158,2026-09-21T16:22:47Z,2026-09,fix(LOO-Norm-Advantage): Fix spike in LOO normed advantage.,cspades,main,8535caefc6cf2e34330e2e24b6dc28c42fbee880,https://github.com/NVIDIA-NeMo/RL/pull/4158,false
NVIDIA-NeMo/RL,4213,2026-09-21T14:55:27Z,2026-09,fix(ppo): rebuild the critic optimizer on a warm start,bg51717,main,094a932d2a2d36c14f18d9ca98a081d4a6223b16,https://github.com/NVIDIA-NeMo/RL/pull/4213,false
NVIDIA-NeMo/RL,4217,2026-09-21T03:14:54Z,2026-09,"trtllm: shard-to-shard (nccl_reshard) refit for the TRT-LLM backend, with local-expert quantization and a reshard-aware trainer offload",zongfeijing,opt/dev-rubin-pin,66870b4e80991cc7eebbbc02c9b4f19eeb232771,https://github.com/NVIDIA-NeMo/RL/pull/4217,true
NVIDIA-NeMo/RL,4206,2026-09-20T21:01:02Z,2026-09,fix(vllm): strip staged token arrays from capture responses,pthombre,main,612d5274059c821dc09c2c90767b546b6f2d50b5,https://github.com/NVIDIA-NeMo/RL/pull/4206,false
NVIDIA-NeMo/RL,4212,2026-09-19T22:39:22Z,2026-09,fix(megatron): preserve patchified vision tensors,rohitrango,main,880a37a39610f050e62e59f6da27ef7e386320d3,https://github.com/NVIDIA-NeMo/RL/pull/4212,false
NVIDIA-NeMo/RL,4107,2026-09-19T21:02:17Z,2026-09,perf(data-plane): avoid local batch copies,rohitrango,main,df2dd675e31f594ab19eef70ea2b2b8067161566,https://github.com/NVIDIA-NeMo/RL/pull/4107,true
NVIDIA-NeMo/RL,3566,2026-09-19T20:58:30Z,2026-09,feat: add end-to-end TE NVFP4 training with per-token vLLM rollout,zhangyimi,main,3491eed5772425acec5edb3fa5d7adccb23ff6f2,https://github.com/NVIDIA-NeMo/RL/pull/3566,true
NVIDIA-NeMo/RL,4209,2026-09-19T14:32:50Z,2026-09,fix(automodel): unbreak L1 by adding the missing dpo model_save_format,yuki-97,main,0ea4e7e4de1fa850a90fe383cc5dd1295f159c04,https://github.com/NVIDIA-NeMo/RL/pull/4209,false
