repo,number,title,updated_at,base,draft,url,review_level,decision,reason
NVIDIA-NeMo/RL,4095,feat(trtllm): TRT-LLM prefill/decode disaggregation for GRPO rollouts,2026-09-22T09:07:18Z,main,True,https://github.com/NVIDIA-NeMo/RL/pull/4095,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4171,feat(grpo): evaluate sequence-logprob filtering in the training forward,2026-09-22T08:49:45Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4171,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4215,fix(automodel): plumb packing boundaries as top-level cu_seqlens for Nemotron,2026-09-22T08:40:36Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4215,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4129,feat(rollout): integrate MInf ledger capture with checkpointing,2026-09-22T08:13:04Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4129,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4230,Bump TensorRT-LLM pin from rc21 to feat/rl_rc,2026-09-22T07:18:01Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4230,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4080,build: bump vllm to 0.29.0,2026-09-22T07:03:07Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4080,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4234,fix: expose grouped expert LoRA adapter sharing,2026-09-22T06:52:28Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4234,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4191,feat(capture): capture vLLM VLM media alongside token deltas,2026-09-22T06:51:46Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4191,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4238,fix: Mask generated media toks and pipe style configs to MInf.,2026-09-22T05:49:14Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4238,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4068,feat(sc): add per-environment rollout telemetry,2026-09-22T05:47:58Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4068,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4207,feat(dtensor): reject dtensor_cfg._v2=false,2026-09-22T05:02:46Z,yukih/dtensor-v2-config-flip,False,https://github.com/NVIDIA-NeMo/RL/pull/4207,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
NVIDIA-NeMo/RL,4193,fix(data): render evaluation chat prompts as complete conversations,2026-09-22T04:39:20Z,main,False,https://github.com/NVIDIA-NeMo/RL/pull/4193,metadata_only,Observe,open 状态快照；updated_at 不等于新代码；不当作已合并能力
