repo,sha,title,author,committer_date,url,decision,signal,review_level,reason
NVIDIA-NeMo/RL,6c5f78b0d971681bace70240dadea2af140cdc16,refactor(loss): move loss-input preparation into loss_input.py (#4232),Yuki Huang,2026-09-22T08:09:55Z,https://github.com/NVIDIA-NeMo/RL/commit/6c5f78b0d971681bace70240dadea2af140cdc16,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA-NeMo/RL,a9c31782a79a9b7dccdf7a877a9abb9e7f8727f8,feat(draft): preserve split-step normalization parity (#3706),Seonjin,2026-09-22T06:00:32Z,https://github.com/NVIDIA-NeMo/RL/commit/a9c31782a79a9b7dccdf7a877a9abb9e7f8727f8,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA-NeMo/RL,9ce38d7f5399119cd176f6d02afd2a1d479be13f,test: re-enable nemotron omni clevr megatron single-controller L1 test (#4231),Yuki Huang,2026-09-22T04:58:44Z,https://github.com/NVIDIA-NeMo/RL/commit/9ce38d7f5399119cd176f6d02afd2a1d479be13f,Ignore,,title_triage,CI/docs/test/chore 标题初筛；不宣称无运行时影响
NVIDIA-NeMo/RL,e07b6daa26e511a84a14047ec9f01c52be4bfe91,ci: install research folder dependencies & discover research test suites (#4216),Sajad Norouzi,2026-09-22T01:04:59Z,https://github.com/NVIDIA-NeMo/RL/commit/e07b6daa26e511a84a14047ec9f01c52be4bfe91,Ignore,,title_triage,CI/docs/test/chore 标题初筛；不宣称无运行时影响
NVIDIA-NeMo/RL,fd7112c374af23b3bcc392637fb737495f8a3f31,fix(nemo-gym): preserve replica identity during routing (#3374),Ananth Subramaniam,2026-09-21T19:45:14Z,https://github.com/NVIDIA-NeMo/RL/commit/fd7112c374af23b3bcc392637fb737495f8a3f31,Read,G7,selected_diff,新接纳机制，详见信号
NVIDIA-NeMo/RL,350fab73de72c001c88fb581a34ffd98444f72ee,feat(nemo-gym): wire sharded stacks into training (#3373),Ananth Subramaniam,2026-09-21T17:53:12Z,https://github.com/NVIDIA-NeMo/RL/commit/350fab73de72c001c88fb581a34ffd98444f72ee,Read,G7,selected_diff,新接纳机制，详见信号
NVIDIA-NeMo/RL,93b1c1d03474f6e6e122ec84394a5ce07c672b3c,feat(mopd): support multiple teacher checkpoints in full-vocabulary o… (#4045),Rayen,2026-09-21T17:33:37Z,https://github.com/NVIDIA-NeMo/RL/commit/93b1c1d03474f6e6e122ec84394a5ce07c672b3c,Observe,9/22 A6,selected_diff,已接纳，去重
NVIDIA-NeMo/RL,8535caefc6cf2e34330e2e24b6dc28c42fbee880,fix(LOO-Norm-Advantage): Fix spike in LOO normed advantage. (#4158),Cory Ye,2026-09-21T16:22:46Z,https://github.com/NVIDIA-NeMo/RL/commit/8535caefc6cf2e34330e2e24b6dc28c42fbee880,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA-NeMo/RL,094a932d2a2d36c14f18d9ca98a081d4a6223b16,fix(ppo): rebuild the critic optimizer on a warm start (#4213),bg51717,2026-09-21T14:55:26Z,https://github.com/NVIDIA-NeMo/RL/commit/094a932d2a2d36c14f18d9ca98a081d4a6223b16,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA-NeMo/RL,612d5274059c821dc09c2c90767b546b6f2d50b5,fix(vllm): strip staged token arrays from capture responses (#4206),Pranav Prashant Thombre,2026-09-20T21:01:01Z,https://github.com/NVIDIA-NeMo/RL/commit/612d5274059c821dc09c2c90767b546b6f2d50b5,Observe,,title_triage,保留候选；未凭标题接受
