repo,number,title,author,merged_at,base,merge_sha,url,files_expected,files_received,patches_present,review_level,signal
NVIDIA-NeMo/RL,3373,feat(nemo-gym): wire sharded stacks into training,ananthsub,2026-09-21T17:53:13Z,main,350fab73de72c001c88fb581a34ffd98444f72ee,https://github.com/NVIDIA-NeMo/RL/pull/3373,26,26,26,PR_body_file_list_and_selected_diff,G7
NVIDIA-NeMo/RL,3374,fix(nemo-gym): preserve replica identity during routing,ananthsub,2026-09-21T19:45:15Z,main,fd7112c374af23b3bcc392637fb737495f8a3f31,https://github.com/NVIDIA-NeMo/RL/pull/3374,10,10,10,PR_body_file_list_and_selected_diff,G7
NVIDIA-NeMo/RL,3706,feat(draft): preserve split-step normalization parity,seonjinn,2026-09-22T06:00:33Z,main,a9c31782a79a9b7dccdf7a877a9abb9e7f8727f8,https://github.com/NVIDIA-NeMo/RL/pull/3706,13,13,13,PR_body_file_list_and_selected_diff,
NVIDIA-NeMo/RL,3739,feat(megatron): add nccl_reshard M-to-N refit for Megatron generation,wdykas,2026-09-11T07:32:50Z,main,5d49fbf4e74bdd3a6627c48759c4a66b8920743b,https://github.com/NVIDIA-NeMo/RL/pull/3739,83,83,83,PR_body_file_list_and_selected_diff,
NVIDIA-NeMo/RL,3898,feat(data-plane): add Mooncake storage checkpoints,zyzhou5,2026-09-18T07:05:52Z,main,54b6aae965bf46a0a781aeda4446c86e2a868bf5,https://github.com/NVIDIA-NeMo/RL/pull/3898,26,26,26,PR_body_file_list_and_selected_diff,
NVIDIA-NeMo/RL,3923,feat(sc): sibling level rollout checkpointing at train boundary,macandro96,2026-09-08T18:52:43Z,main,069a24321f9975598294da826b8a3e2cd83f7ed9,https://github.com/NVIDIA-NeMo/RL/pull/3923,37,37,37,PR_body_file_list_and_selected_diff,
NVIDIA-NeMo/RL,3924,feat(sc): periodic rollout checkpointing,macandro96,2026-09-08T22:44:23Z,main,41444ecc19ae72f0712b54d650cafb763743ef77,https://github.com/NVIDIA-NeMo/RL/pull/3924,24,24,24,PR_body_file_list_and_selected_diff,
NVIDIA-NeMo/RL,3935,fix(automodel): align checkpoint lifecycle with consolidated save modes,jQizhang,2026-09-18T07:56:15Z,main,4fa8beff3b6aa1482ddbeeb34d7b05ebd37cc837,https://github.com/NVIDIA-NeMo/RL/pull/3935,84,84,84,PR_body_file_list_and_selected_diff,
NVIDIA-NeMo/RL,4106,feat(data): add PackedTensor preprocessing modes,rohitrango,2026-09-18T22:42:51Z,main,a6845608eac0a5690134f21cddf46676b412137a,https://github.com/NVIDIA-NeMo/RL/pull/4106,16,16,16,PR_body_file_list_and_selected_diff,
NVIDIA-NeMo/RL,4107,perf(data-plane): avoid local batch copies,rohitrango,2026-09-19T21:02:17Z,main,df2dd675e31f594ab19eef70ea2b2b8067161566,https://github.com/NVIDIA-NeMo/RL/pull/4107,5,5,5,PR_body_file_list_and_selected_diff,
NVIDIA/Megatron-LM,5532,[main] moe(perf): Pre-GDR kernel fusion,yuzhongw-nvidia,2026-09-21T21:05:58Z,main,8d5555c93a410609f998d778ec03cf10b3aee8ac,https://github.com/NVIDIA/Megatron-LM/pull/5532,14,14,14,PR_body_file_list_and_selected_diff,
NVIDIA/Megatron-LM,6885,Fix one-shot stream causing FSDP memory leaks,shjwudp,2026-09-18T15:32:47Z,main,b427ebfad1168afa79f742dca5636bf6f5852a13,https://github.com/NVIDIA/Megatron-LM/pull/6885,3,3,3,PR_body_file_list_and_selected_diff,
NVIDIA/Megatron-LM,7245,Add speculative decoding support for GDP,santhnm2,2026-09-21T16:59:00Z,main,bde6af2eb29325649dd71d41e584acb9782706f1,https://github.com/NVIDIA/Megatron-LM/pull/7245,8,8,8,PR_body_file_list_and_selected_diff,
NVIDIA/Megatron-LM,7265,Add QuantizedDBuffer for MXFP8 plane storage,wujingyue,2026-09-19T00:15:39Z,main,e648932ff21ff3fc2fb2e713376a73221adc7f86,https://github.com/NVIDIA/Megatron-LM/pull/7265,2,2,2,PR_body_file_list_and_selected_diff,
NVIDIA/Megatron-LM,7302,Support MXFP8 batch invariance for inference and TE grouped training,wdykas,2026-09-18T22:35:07Z,main,5f51602f059a1bda38ee64bf676bf9a4bda96339,https://github.com/NVIDIA/Megatron-LM/pull/7302,17,17,17,PR_body_file_list_and_selected_diff,
NVIDIA/Megatron-LM,7435,wire mimo non-colcoated cp>1 in the training loop,liding-nv,2026-09-21T04:42:25Z,main,64d156734918e73238de5cad6d97dcfaa6ec1005,https://github.com/NVIDIA/Megatron-LM/pull/7435,8,8,8,PR_body_file_list_and_selected_diff,
OpenRLHF/OpenRLHF,1309,Fix reverse-KL gradient on the KL-as-loss path (form + off-policy importance weight),anas353,2026-09-10T07:40:06Z,main,ebc9e245b8c859ba52cbacc8b2e48fb024b64cb7,https://github.com/OpenRLHF/OpenRLHF/pull/1309,5,5,5,PR_body_file_list_and_selected_diff,
OpenRLHF/OpenRLHF,1321,fix(ppo): drain terminal oversampling buffer before restarting the loader,ai-yang,2026-09-10T07:32:45Z,main,6431dec05a23b94baf5cee10ed6a67b2b67fcf48,https://github.com/OpenRLHF/OpenRLHF/pull/1321,3,3,3,PR_body_file_list_and_selected_diff,
OpenRLHF/OpenRLHF,1327,fix(agent): propagate multi-turn rollout truncation,Excelius-Wang,2026-09-10T14:32:59Z,main,1400db4ba4cf190adfed3733311847ca3aa14a6f,https://github.com/OpenRLHF/OpenRLHF/pull/1327,3,3,3,PR_body_file_list_and_selected_diff,
THUDM/slime,2390,sync from internal,zhuzilin,2026-09-18T06:58:04Z,main,b90b5e3967389e1d40977bfc8a1190b13d32808d,https://github.com/THUDM/slime/pull/2390,28,28,28,PR_body_file_list_and_selected_diff,
THUDM/slime,2391,refactor: remove legacy async training entrypoint,zhuzilin,2026-09-18T07:20:47Z,main,3b406b9fc2aa0df2696523b94b19146434be0ab8,https://github.com/THUDM/slime/pull/2391,34,34,34,PR_body_file_list_and_selected_diff,
